Full_Name,Country,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission
Hamagishi Masayuki,KOR,1.0,0.0,2.0,0.0,0.0
Hamaji Yasutaka,KOR,0.0,0.0,0.0,0.0,0.0
Hamaker Frank,KOR,0.0,0.0,0.0,1.0,0.0
Hamalainen Mika,KOR,0.0,0.0,0.0,0.0,1.0
Hamamatsu Sadashi,JPN,0.0,0.0,1.0,0.0,1.0
Hamamura Ken,JPN,1.0,1.0,1.0,0.0,0.0
Hamamura Yoko,JPN,0.0,0.0,1.0,0.0,0.0
Hamanaka Kazuhiro,JPN,0.0,0.0,3.0,0.0,0.0
Hamasaki Ayaka,JPN,0.0,3.0,2.0,0.0,0.0
Hamblin Ty,JPN,0.0,0.0,1.0,0.0,1.0
Hamdan Abdullah,JPN,0.0,1.0,0.0,0.0,1.0
Hamed Rami,LIB,0.0,6.0,0.0,1.0,3.0
Hamel Mike,USA,0.0,3.0,1.0,0.0,1.0
Hamel Sebastien,USA,0.0,0.0,1.0,0.0,0.0
Hamen Gary,USA,0.0,0.0,0.0,0.0,1.0
Hamida Michael,USA,0.0,0.0,0.0,0.0,1.0
Hamidov Avliyohon,USA,0.0,0.0,1.0,0.0,0.0
Hamidov Sunay,USA,0.0,0.0,1.0,0.0,0.0
Hamill Matt,USA,0.0,6.0,4.0,0.0,1.0
Hamilton Aaron,USA,0.0,0.0,2.0,1.0,1.0
Hamilton Anthony,USA,0.0,8.0,4.0,1.0,3.0
Hamilton Beau,USA,0.0,0.0,2.0,0.0,0.0
Hamilton Bryce,USA,0.0,0.0,0.0,0.0,1.0
Hamilton C.J.,USA,0.0,4.0,1.0,2.0,3.0
Hamilton C.J.,USA,0.0,0.0,0.0,0.0,0.0
Hamilton Don,USA,0.0,0.0,0.0,0.0,1.0
Hamilton Jeremy,USA,0.0,0.0,0.0,0.0,1.0
Hamilton Joe,USA,0.0,0.0,0.0,0.0,0.0
Hamilton Matt,CAN,0.0,0.0,0.0,0.0,1.0
Hamilton Nelson,CAN,0.0,0.0,0.0,0.0,0.0
Hamilton Tyler,CAN,0.0,0.0,0.0,0.0,0.0
Hamilton Wade,CAN,0.0,0.0,1.0,0.0,3.0
Hamlet Marthin,NOR,0.0,3.0,1.0,3.0,2.0
Hamlett Anthony,NOR,0.0,1.0,2.0,0.0,1.0
Hamlett Anthony,NOR,0.0,0.0,0.0,0.0,0.0
Hamm Colton,USA,0.0,1.0,4.0,3.0,0.0
Hamm Justin,USA,0.0,0.0,1.0,0.0,1.0
Hammada Rajab,USA,0.0,0.0,1.0,0.0,1.0
Hamman Jared,USA,0.0,0.0,0.0,2.0,1.0
Hamman Mike,USA,0.0,0.0,1.0,0.0,0.0
Hammer Greg,USA,0.0,0.0,0.0,0.0,1.0
Hammerich Eric,USA,0.0,1.0,1.0,0.0,2.0
Hammertrum Justin,USA,0.0,0.0,1.0,0.0,0.0
Hammo Maged,USA,0.0,0.0,0.0,0.0,1.0
Hammond Will,USA,0.0,0.0,1.0,0.0,0.0
Hammonds Shawn,USA,0.0,0.0,0.0,0.0,1.0
Hammons David,USA,0.0,0.0,1.0,1.0,0.0
Hammortree James,USA,0.0,0.0,0.0,0.0,1.0
Hamongkol Kan,USA,0.0,0.0,1.0,0.0,0.0
Hamouda Michael Ben,USA,0.0,0.0,1.0,0.0,0.0
Hampson Ellis,ENG,0.0,1.0,1.0,0.0,1.0
Hampton Kyane,ENG,0.0,0.0,0.0,0.0,1.0
Hamrsmid Michal,ENG,0.0,0.0,0.0,0.0,0.0
Hamzeh Chad,ENG,0.0,1.0,1.0,0.0,0.0
Han Jiaqiang,ENG,0.0,0.0,0.0,0.0,1.0
Han Qingtao,ENG,0.0,0.0,0.0,1.0,0.0
Han Tu Wan,ENG,0.0,0.0,0.0,0.0,1.0
Han Volk,ENG,0.0,0.0,0.0,0.0,0.0
Hanada Kazuhiro,ENG,0.0,0.0,2.0,0.0,0.0
Hanai Takafumi,ENG,0.0,0.0,1.0,0.0,0.0
Hanaike Makoa,ENG,0.0,0.0,0.0,0.0,1.0
Hanawa Shinichi,ENG,0.0,0.0,0.0,0.0,0.0
Hanazawa Daisuke,ENG,0.0,0.0,3.0,4.0,1.0
Hanchana Arthit,ENG,0.0,0.0,0.0,1.0,1.0
Hancock Clovis,ENG,0.0,0.0,2.0,0.0,1.0
Hancock Dean,USA,0.0,1.0,0.0,1.0,1.0
Hancock Gary,USA,0.0,0.0,0.0,0.0,1.0
Hancock Jesse,USA,0.0,0.0,0.0,0.0,1.0
Hancock Joshua,USA,0.0,0.0,1.0,0.0,0.0
Hancock Kevin,USA,0.0,0.0,0.0,0.0,0.0
Hancock Logan,USA,0.0,0.0,0.0,0.0,0.0
Hancock Samples Ashley,USA,0.0,0.0,1.0,0.0,1.0
Hand Ben,USA,0.0,0.0,0.0,0.0,1.0
Handel Kristin,GER,0.0,0.0,1.0,0.0,0.0
Handley Jay,GER,0.0,0.0,0.0,0.0,1.0
Handricks Josh,GER,0.0,0.0,0.0,0.0,1.0
Handzhiyski Kiril,GER,0.0,0.0,0.0,0.0,1.0
Hanes Christopher,GER,0.0,0.0,0.0,0.0,1.0
Haney Chris,GER,0.0,0.0,1.0,0.0,2.0
Haney Dwayne,USA,0.0,0.0,1.0,0.0,0.0
Haney Robert,USA,0.0,0.0,0.0,0.0,1.0
Hani Flore,USA,0.0,0.0,0.0,0.0,0.0
Hanif bin Zainal Muhammad,USA,0.0,0.0,2.0,0.0,1.0
Haniff Salleem,USA,0.0,0.0,0.0,0.0,0.0
Hanjani Ali,USA,0.0,0.0,1.0,1.0,1.0
Hanke Santana Eduardo,BRA,0.0,0.0,1.0,0.0,1.0
Hanks Mike,BRA,0.0,0.0,2.0,0.0,0.0
Hanna David,USA,0.0,0.0,1.0,0.0,0.0
Hanna Rob,USA,0.0,0.0,0.0,0.0,1.0
Hanna Steve,USA,0.0,0.0,0.0,0.0,0.0
Hannah Dallas,USA,0.0,0.0,1.0,0.0,0.0
Hannah Nate,USA,0.0,0.0,0.0,1.0,1.0
Hansburger Tristian,USA,0.0,0.0,1.0,0.0,0.0
Hansen Andrew,USA,0.0,0.0,1.0,0.0,0.0
Hansen Brenson,USA,0.0,1.0,0.0,0.0,1.0
Hansen Bryson,USA,0.0,5.0,0.0,0.0,1.0
Hansen Frodi,USA,0.0,0.0,3.0,0.0,2.0
Hansen Joachim,NOR,0.0,7.0,3.0,8.0,5.0
Hansen Kay,USA,0.0,2.0,1.0,4.0,0.0
Hansen Kristian,DEN,0.0,0.0,0.0,0.0,1.0
Hansen Michael,DEN,0.0,0.0,1.0,0.0,0.0
Hansen Mike,DEN,0.0,0.0,0.0,0.0,1.0
Hansen Nate,DEN,0.0,0.0,0.0,0.0,1.0
Hansen Paul,DEN,0.0,0.0,1.0,0.0,0.0
Hanson James,DEN,0.0,0.0,0.0,0.0,1.0
Hanson Nathan,DEN,0.0,0.0,1.0,0.0,0.0
Hanssen Mark,DEN,0.0,0.0,0.0,1.0,0.0
Hantaru Lucio,DEN,0.0,0.0,1.0,0.0,0.0
Hantelman Tannaya,DEN,0.0,0.0,2.0,0.0,1.0
Hanturaev Murod,DEN,0.0,1.0,0.0,0.0,0.0
Hantz Clay,DEN,0.0,0.0,1.0,0.0,1.0
Hanulay Rastislav,DEN,0.0,0.0,0.0,0.0,2.0
Hao Jiahao,DEN,0.0,0.0,0.0,0.0,1.0
Hao Scotty,USA,0.0,0.0,0.0,0.0,1.0
Hao Yujie,USA,0.0,0.0,0.0,0.0,0.0
Haolan Jietebusibai,CHN,0.0,0.0,2.0,0.0,1.0
Haq Umaer,CHN,0.0,0.0,0.0,0.0,0.0
Haqparast Nasrat,AFG,0.0,9.0,1.0,0.0,1.0
Haque Shaj,ENG,0.0,0.0,1.0,0.0,0.0
Haque Shamsul,ENG,0.0,0.0,1.0,0.0,1.0
Hara Akihito,ENG,0.0,0.0,2.0,0.0,0.0
Hara Takeshi,ENG,0.0,0.0,0.0,0.0,0.0
Harada Dennis,ENG,0.0,0.0,0.0,0.0,1.0
Harada Tadahiro,ENG,0.0,0.0,1.0,0.0,0.0
Harada Toshikatsu,JPN,0.0,6.0,6.0,4.0,5.0
Harada Yoshiki,JPN,0.0,0.0,0.0,0.0,0.0
Harai Toru,JPN,0.0,0.0,0.0,0.0,0.0
Harasim Pawel,JPN,0.0,0.0,0.0,0.0,0.0
Haratyk Rafal,JPN,1.0,0.0,1.0,0.0,1.0
Harcrow Eric,JPN,0.0,0.0,0.0,0.0,1.0
Harden Devin,JPN,0.0,0.0,0.0,0.0,0.0
Harder Brandon,JPN,0.0,1.0,0.0,0.0,1.0
Hardiman Dale,ENG,0.0,0.0,0.0,0.0,0.0
Hardiman Michael,USA,0.0,0.0,0.0,0.0,1.0
Hardin Nathan,USA,0.0,0.0,2.0,0.0,0.0
Harding Janay,AUS,0.0,4.0,2.0,0.0,1.0
Hardison Eddie,USA,0.0,0.0,0.0,0.0,2.0
Hardison T.B.,USA,0.0,0.0,1.0,0.0,0.0
Hardmon Malcolm,USA,0.0,0.0,1.0,0.0,0.0
Hardonk Antoni,NED,0.0,6.0,2.0,2.0,1.0
Hardwick George,ENG,0.0,1.0,0.0,3.0,0.0
Hardwick Harry,ENG,0.0,0.0,0.0,0.0,1.0
Hardy Cameron,ENG,0.0,0.0,1.0,0.0,0.0
Hardy Dan,ENG,0.0,0.0,0.0,4.0,4.0
Hardy Greg,USA,0.0,6.0,2.0,0.0,0.0
Hardy Heather,USA,0.0,1.0,2.0,0.0,0.0
Hardy Jeremy,USA,0.0,4.0,3.0,0.0,0.0
Hardy Troy,USA,0.0,0.0,1.0,0.0,0.0
Harel Sebastien,USA,0.0,0.0,0.0,0.0,1.0
Hargett Jude,USA,0.0,0.0,1.0,0.0,0.0
Hargroder Jonathon,USA,0.0,0.0,1.0,0.0,0.0
Harigai Mika,USA,0.0,0.0,0.0,0.0,5.0
Harila Tobias,SWE,0.0,8.0,0.0,0.0,1.0
Haring Severin,SWE,0.0,0.0,1.0,0.0,0.0
Haritakis Eric,SWE,0.0,0.0,1.0,0.0,0.0
Harkins Brad,SWE,0.0,0.0,0.0,0.0,1.0
Harkins John-Ross,SCT,0.0,0.0,1.0,0.0,0.0
Harles Juarez,SCT,0.0,0.0,2.0,0.0,0.0
Harlin Byron,SCT,0.0,0.0,0.0,0.0,3.0
Harling Gary,SCT,0.0,0.0,2.0,0.0,0.0
Harman Chris,ENG,0.0,0.0,0.0,0.0,3.0
Harman Patrick,ENG,0.0,0.0,1.0,0.0,3.0
Harmon Craig,ENG,0.0,0.0,0.0,0.0,0.0
Harmon Jeff,ENG,0.0,0.0,0.0,0.0,1.0
Harmon Pat,ENG,0.0,0.0,0.0,0.0,0.0
Harn Baru,ENG,0.0,0.0,0.0,0.0,1.0
Harnois Wayne,ENG,0.0,0.0,1.0,0.0,2.0
Haro Miguel,ENG,0.0,0.0,0.0,0.0,2.0
Harold Brett,ENG,0.0,0.0,0.0,0.0,1.0
Harper Alex,ENG,0.0,0.0,1.0,0.0,0.0
Harper Bryan,ENG,0.0,0.0,0.0,0.0,1.0
Harper Derithe,ENG,0.0,0.0,0.0,0.0,0.0
Harper Helen,ENG,0.0,2.0,3.0,1.0,0.0
Harper Jackson,ENG,0.0,0.0,0.0,0.0,0.0
Harper Paul,ENG,0.0,0.0,1.0,0.0,0.0
Harper Scott,ENG,0.0,1.0,2.0,0.0,1.0
Harra Harvey,ENG,0.0,0.0,0.0,0.0,2.0
Harrar Faissal,ENG,0.0,0.0,1.0,0.0,0.0
Harrell Bryce,ENG,0.0,0.0,1.0,0.0,1.0
Harrell Dante,USA,0.0,0.0,1.0,0.0,2.0
Harriman Gareth,USA,0.0,0.0,0.0,0.0,0.0
Harrington Justin,USA,0.0,0.0,1.0,0.0,2.0
Harris Adam,USA,0.0,0.0,1.0,0.0,0.0
Harris Cameron,USA,0.0,0.0,1.0,0.0,0.0
Harris Carlston,GUY,0.0,5.0,1.0,5.0,0.0
Harris Chris,USA,0.0,5.0,1.0,2.0,3.0
Harris Crystal,USA,0.0,0.0,0.0,0.0,1.0
Harris Darla,USA,0.0,0.0,1.0,0.0,0.0
Harris Daryl,USA,0.0,0.0,1.0,0.0,0.0
Harris David,USA,0.0,0.0,1.0,2.0,6.0
Harris De'Marco,USA,0.0,0.0,0.0,0.0,0.0
Harris Deric,USA,0.0,0.0,1.0,0.0,0.0
Harris Dhafir,USA,0.0,2.0,0.0,0.0,0.0
Harris Elijah,USA,0.0,0.0,0.0,1.0,1.0
Harris Gerald,USA,0.0,0.0,0.0,6.0,2.0
Harris Gerry,USA,0.0,0.0,1.0,0.0,0.0
Harris Jason,USA,0.0,0.0,0.0,0.0,3.0
Harris Jernato,USA,0.0,0.0,1.0,0.0,2.0
Harris Jonathan,USA,0.0,5.0,4.0,2.0,1.0
Harris Kaleb,USA,0.0,0.0,0.0,0.0,1.0
Harris Kedrick,USA,0.0,0.0,1.0,0.0,0.0
Harris Luke,CAN,0.0,0.0,3.0,0.0,0.0
Harris Martyn,ENG,0.0,0.0,1.0,3.0,4.0
Harris Mitchell,ENG,0.0,0.0,0.0,0.0,1.0
Harris Nate,ENG,0.0,0.0,0.0,0.0,2.0
Harris Phil,ENG,0.0,4.0,5.0,0.0,0.0
Harris Preston,ENG,0.0,0.0,0.0,0.0,0.0
Harris Rex,USA,0.0,5.0,0.0,1.0,1.0
Harris Roe,USA,0.0,0.0,2.0,0.0,0.0
Harris Steven,USA,0.0,0.0,1.0,0.0,0.0
Harris Tom,USA,0.0,0.0,0.0,0.0,0.0
Harris Trevor,USA,0.0,0.0,0.0,0.0,1.0
Harris Walt,USA,0.0,0.0,0.0,0.0,1.0
Harrison Andre,USA,0.0,3.0,0.0,2.0,1.0
Harrison Brady,USA,0.0,0.0,0.0,0.0,2.0
Harrison Chris,USA,0.0,0.0,0.0,0.0,1.0
Harrison Jamie,USA,0.0,0.0,0.0,1.0,0.0
Harrison Jeff,USA,0.0,0.0,1.0,0.0,1.0
Harrison Karl,USA,0.0,0.0,0.0,0.0,0.0
Harrison Kayla,USA,0.0,5.0,0.0,5.0,0.0
Harrison Keni,MEX,0.0,0.0,0.0,0.0,1.0
Harrison Paul,MEX,0.0,0.0,1.0,0.0,0.0
Harrison Vernon,MEX,0.0,0.0,1.0,0.0,0.0
Harrison-Campbell Dominic,MEX,0.0,0.0,0.0,0.0,1.0
Harshbarger Elijah,USA,0.0,0.0,0.0,2.0,3.0
Hart Chris,USA,0.0,0.0,0.0,0.0,1.0
