Full_Name,Country,Wins,Loses,Decision,Wins_By_KO,Loses_By_KO,Wins_By_Submission,Loses_By_Submission,Champion
Tim Wilde,England,2,1,0,1,0,1.0,0.0,0
Myles Jury,United States,2,2,0,0,0,2.0,2.0,0
Killys Mota,Brazil,1,2,0,0,0,0.0,2.0,0
Patrik Pietilä,Finland,0,2,0,0,0,0.0,2.0,0
Kane Mousah,England,2,2,0,1,0,1.0,2.0,0
Nick Newell,United States,1,2,0,0,0,0.0,2.0,0
Lance Gibson Jr,Canada,3,0,0,1,0,2.0,0.0,0
Chris Gonzalez,United States,5,1,0,4,0,1.0,0.0,0
Sidney Outlaw,United States,4,1,0,3,0,1.0,0.0,0
Soren Bak,Denmark,2,0,0,1,0,1.0,0.0,0
Ricardo Seixas,Brazil,1,1,0,0,0,0.0,0.0,0
Mike Hamel,United States,2,2,0,0,0,2.0,2.0,0
Yves Landu,France,1,1,0,0,0,0.0,0.0,0
Alan Omer,Germany,1,0,0,0,0,0.0,0.0,0
Bryce Logan,United States,0,3,0,0,0,0.0,3.0,0
Bobby Lee,United States,0,3,0,0,2,0.0,1.0,0
Bobby King,United States,1,1,0,0,0,0.0,0.0,0
Usman Nurmagomedov,Russia,3,0,0,1,0,2.0,0.0,0
Dan Moret,United States,1,1,0,0,0,0.0,0.0,0
Alexandr Shabliy,Russia,2,0,0,1,0,1.0,0.0,0
Nate Andrews,United States,0,1,0,0,0,0.0,0.0,0
Corey Samuels,United States,1,0,0,0,0,0.0,0.0,0
Islam Mamedov,Russia,1,0,0,0,0,0.0,0.0,0
Davy Gallon,France,1,0,0,0,0,0.0,0.0,0
Nick Browne,United States,1,0,0,0,0,0.0,0.0,0
Spike Carlyle,United States,1,0,0,0,0,0.0,0.0,0
Justin Montalvo,United States,1,0,0,0,0,0.0,0.0,0
Patrício Pitbull,Brazil,20,5,0,17,2,3.0,3.0,0
Daniel Weichel,Germany,10,5,0,2,4,8.0,1.0,0
Andrew Fisher,England,1,2,0,0,0,0.0,2.0,0
Emmanuel Sanchez,United States,12,6,0,2,3,10.0,3.0,0
A,United States,18,0,0,9,0,9.0,0.0,0
Henry Corrales,United States,7,6,0,5,2,2.0,4.0,0
Gaston Bolanos,Peru,5,3,0,2,1,3.0,2.0,0
Ádám Borics,Hungary,8,1,0,0,0,8.0,0.0,0
Aaron Pico,United States,9,3,0,4,1,5.0,2.0,0
Pedro Carvalho,Portugal,5,2,0,0,1,5.0,1.0,0
Jay Jay Wilson,New Zealand,7,0,0,6,0,1.0,0.0,0
Kai Kamaka III,United States,3,0,0,1,0,2.0,0.0,0
Weber Almeida,Brazil,3,1,0,1,0,2.0,0.0,0
Nathan Rose,England,1,3,0,0,0,0.0,3.0,0
Aiden Lee,England,3,2,0,2,0,1.0,2.0,0
Lucas Brennan,United States,5,0,0,2,0,3.0,0.0,0
